project,mutant_id,class,method,line,mutator,description,pit_status,reason
commons-beanutils,02aefb0252b7,org.apache.commons.beanutils.expression.DefaultResolver,getProperty,142,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,ambiguous_pitmus_match_2
commons-beanutils,a7390c0f78f9,org.apache.commons.beanutils.converters.ArrayConverter,parseElements,443,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,99951cc6fa1f,org.apache.commons.beanutils.converters.StringConverter,convertToType,93,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,99951cc6fa1f,org.apache.commons.beanutils.converters.StringConverter,convertToType,93,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,9a3abe2d57be,org.apache.commons.beanutils.converters.StringConverter,convertToType,93,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,9a3abe2d57be,org.apache.commons.beanutils.converters.StringConverter,convertToType,93,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,76a85e448256,org.apache.commons.beanutils.MappedPropertyDescriptor,internalGetMethod,352,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,no_pitmus_match
commons-beanutils,ea7d738911f0,org.apache.commons.beanutils.MappedPropertyDescriptor,internalGetMethod,352,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-beanutils,6ca6a0fa4d05,org.apache.commons.beanutils.expression.DefaultResolver,isIndexed,179,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,ambiguous_pitmus_match_2
commons-beanutils,6ca6a0fa4d05,org.apache.commons.beanutils.expression.DefaultResolver,isIndexed,179,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,ambiguous_pitmus_match_2
commons-beanutils,a89fed16d991,org.apache.commons.beanutils.MethodUtils,getTotalTransformationCost,1105,MathMutator,Replaced float addition with subtraction,KILLED,no_pitmus_match
commons-beanutils,82766ef8269c,org.apache.commons.beanutils.BeanUtilsBean,populate,806,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-beanutils,cbca2fcd0eef,org.apache.commons.beanutils.BeanUtilsBean,populate,806,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,cbca2fcd0eef,org.apache.commons.beanutils.BeanUtilsBean,populate,806,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
