project,mutant_id,class,method,line,mutator,description,pit_status,pit_label,pitmus_status,agreement,detail,time_seconds
commons-beanutils,cda4704ddac8,org.apache.commons.beanutils.LazyDynaBean,get,397,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.95
commons-beanutils,0affd8a81b16,org.apache.commons.beanutils.LazyDynaBean,get,382,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,3.03
commons-beanutils,ae319e28c085,org.apache.commons.beanutils.LazyDynaBean,get,383,VoidMethodCallMutator,removed call to org/apache/commons/beanutils/LazyDynaBean::set,KILLED,KILLED,SURVIVED,disagreed,ok,2.93
commons-beanutils,f5c8db2d4d0a,org.apache.commons.beanutils.LazyDynaBean,get,390,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.88
commons-beanutils,73cafa3a35ba,org.apache.commons.beanutils.LazyDynaBean,createMappedProperty,741,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.92
commons-beanutils,3a0e50a210a4,org.apache.commons.beanutils.LazyDynaBean,createMappedProperty,733,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.94
commons-beanutils,50331a0e26fe,org.apache.commons.beanutils.LazyDynaBean,createMappedProperty,756,NullReturnValsMutator,replaced return value with null for org/apache/commons/beanutils/LazyDynaBean::createMappedProperty,KILLED,KILLED,KILLED,agreed,test_failure,3.07
commons-beanutils,1f254045c3fd,org.apache.commons.beanutils.LazyDynaBean,createMappedProperty,741,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,2.90
commons-beanutils,ab94f5cd5fc6,org.apache.commons.beanutils.LazyDynaBean,createMappedProperty,737,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.91
commons-beanutils,81e2a0175e8b,org.apache.commons.beanutils.ConvertUtilsBean,convert,548,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,KILLED,KILLED,agreed,non_zero_rc_1,1.17
commons-beanutils,417a1e854330,org.apache.commons.beanutils.ConvertUtilsBean,convert,562,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,KILLED,KILLED,agreed,test_failure,31.92
commons-beanutils,b16cb5832a64,org.apache.commons.beanutils.ConvertUtilsBean,convert,575,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.01
commons-beanutils,ba8462ec759b,org.apache.commons.beanutils.ConstructorUtils,getAccessibleConstructor,334,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,3.05
commons-beanutils,4b001938740d,org.apache.commons.beanutils.ConstructorUtils,getAccessibleConstructor,328,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,2.96
commons-beanutils,92685492ab27,org.apache.commons.beanutils.ConstructorUtils,getAccessibleConstructor,334,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.95
commons-beanutils,82446b7b9a8c,org.apache.commons.beanutils.ConstructorUtils,getAccessibleConstructor,328,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.12
