project,class,method,methodDescription,line,mutator,description,sourceFile,coveringTests,pit_status,mutant_id
commons-dbutils,org.apache.commons.dbutils.AbstractQueryRunner,configureStatement,(Ljava/sql/Statement;)V,256,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,AbstractQueryRunner.java,org.apache.commons.dbutils.QueryRunnerTest.testStatementConfiguration(org.apache.commons.dbutils.QueryRunnerTest),SURVIVED,3fb4c2a0f031
commons-dbutils,org.apache.commons.dbutils.AbstractQueryRunner,configureStatement,(Ljava/sql/Statement;)V,256,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,AbstractQueryRunner.java,org.apache.commons.dbutils.QueryRunnerTest.testStatementConfiguration(org.apache.commons.dbutils.QueryRunnerTest),KILLED,2b8d3c3c4eda
commons-dbutils,org.apache.commons.dbutils.AbstractQueryRunner,configureStatement,(Ljava/sql/Statement;)V,257,VoidMethodCallMutator,removed call to java/sql/Statement::setFetchDirection,AbstractQueryRunner.java,org.apache.commons.dbutils.QueryRunnerTest.testStatementConfiguration(org.apache.commons.dbutils.QueryRunnerTest),KILLED,a25da43c5158
commons-dbutils,org.apache.commons.dbutils.AbstractQueryRunner,configureStatement,(Ljava/sql/Statement;)V,264,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,AbstractQueryRunner.java,org.apache.commons.dbutils.QueryRunnerTest.testStatementConfiguration(org.apache.commons.dbutils.QueryRunnerTest),SURVIVED,4a4778e499ba
commons-dbutils,org.apache.commons.dbutils.AbstractQueryRunner,configureStatement,(Ljava/sql/Statement;)V,255,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,AbstractQueryRunner.java,org.apache.commons.dbutils.AsyncQueryRunnerTest.testTooManyParamsQuery(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooFewParamsUpdate(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooManyParamsBatch(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testTooManyParamsBatch(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testTooFewParamsUpdate(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testTooFewParamsBatch(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testTooManyParamsUpdate(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooFewParamsExecuteWithResultSet(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNoParamsUpdate(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatch(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooFewParamsBatch(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooFewParamsQuery(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatchDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testTooFewParamsQuery(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooFewParamsExecute(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNullParamsBatch(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNoParamsQuery(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testNullParamsBatch(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testStatementConfiguration(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooManyParamsUpdate(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodQueryDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodUpdatePmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooManyParamsQuery(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodUpdate(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodUpdateDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNoParamsExecuteWithResultSet(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatchPmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodQueryPmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooManyParamsExecuteWithResultSet(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteUpdateException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testNoParamsUpdate(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodQuery(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteQueryException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testAddBatchException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteBatchException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooManyParamsExecute(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testExecuteUpdateException(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodBatchPmdTrue(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNoParamsExecute(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testExecuteBatchException(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testExecuteQueryException(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testNoParamsQuery(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodQueryPmdTrue(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodUpdatePmdTrue(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodBatchDefaultConstructor(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatchInsert(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodQueryDefaultConstructor(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodBatch(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodUpdateDefaultConstructor(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodUpdate(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodQuery(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteWithResultSetException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testAddBatchException(org.apache.commons.dbutils.AsyncQueryRunnerTest),KILLED,ce70d2b88632
commons-dbutils,org.apache.commons.dbutils.AbstractQueryRunner,fillStatement,(Ljava/sql/PreparedStatement;[Ljava/lang/Object;)V,365,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,AbstractQueryRunner.java,org.apache.commons.dbutils.QueryRunnerTest.testGoodBatchDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatch(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testFillStatementWithBean(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNullParamsBatch(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testNullParamsBatch(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodUpdate(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodQueryDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodUpdateDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodUpdatePmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatchPmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodQueryPmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteUpdateException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodQuery(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testExecuteUpdateException(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodBatchPmdTrue(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteWithMultipleResultSets(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodInsert(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodQueryPmdTrue(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodUpdatePmdTrue(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodBatchDefaultConstructor(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodBatch(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatchInsert(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodQueryDefaultConstructor(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodUpdateDefaultConstructor(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodUpdate(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodQuery(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecutePmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecute(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSetPmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSetDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSet(org.apache.commons.dbutils.QueryRunnerTest),KILLED,28fee88b3583
commons-dbutils,org.apache.commons.dbutils.AbstractQueryRunner,fillStatement,(Ljava/sql/PreparedStatement;[Ljava/lang/Object;)V,365,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,AbstractQueryRunner.java,org.apache.commons.dbutils.QueryRunnerTest.testGoodBatchDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatch(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testFillStatementWithBean(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNullParamsBatch(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testNullParamsBatch(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodUpdate(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodQueryDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodUpdateDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodUpdatePmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatchPmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodQueryPmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteUpdateException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodQuery(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testExecuteUpdateException(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodBatchPmdTrue(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteWithMultipleResultSets(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodInsert(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodQueryPmdTrue(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodUpdatePmdTrue(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodBatchDefaultConstructor(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodBatch(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatchInsert(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodQueryDefaultConstructor(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodUpdateDefaultConstructor(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodUpdate(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodQuery(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecutePmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecute(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSetPmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSetDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSet(org.apache.commons.dbutils.QueryRunnerTest),SURVIVED,08c33600bd46
commons-dbutils,org.apache.commons.dbutils.AbstractQueryRunner,fillStatement,(Ljava/sql/PreparedStatement;[Ljava/lang/Object;)V,346,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,AbstractQueryRunner.java,org.apache.commons.dbutils.AsyncQueryRunnerTest.testTooManyParamsQuery(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooFewParamsUpdate(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooManyParamsBatch(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testTooManyParamsBatch(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNullHandlerExecute(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testTooFewParamsUpdate(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testTooFewParamsBatch(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testTooManyParamsUpdate(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooFewParamsExecuteWithResultSet(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNoParamsUpdate(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatch(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooFewParamsBatch(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooFewParamsQuery(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatchDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testTooFewParamsQuery(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooFewParamsExecute(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testFillStatementWithBean(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNullParamsBatch(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNoParamsQuery(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testNullParamsBatch(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooManyParamsUpdate(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodQueryDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooManyParamsQuery(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodUpdate(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodUpdateDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNoParamsExecuteWithResultSet(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooManyParamsExecuteWithResultSet(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteUpdateException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testNoParamsUpdate(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodQuery(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteQueryException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testAddBatchException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteBatchException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testTooManyParamsExecute(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testExecuteUpdateException(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteWithMultipleResultSets(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodInsert(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testNoParamsExecute(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testExecuteBatchException(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testExecuteQueryException(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testNoParamsQuery(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodBatchDefaultConstructor(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodBatchInsert(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodQueryDefaultConstructor(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodBatch(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodUpdateDefaultConstructor(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodUpdate(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testGoodQuery(org.apache.commons.dbutils.AsyncQueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testExecuteWithResultSetException(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecute(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSetDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSet(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.AsyncQueryRunnerTest.testAddBatchException(org.apache.commons.dbutils.AsyncQueryRunnerTest),KILLED,84fe008ea2a3
commons-dbutils,org.apache.commons.dbutils.AbstractQueryRunner,fillStatement,(Ljava/sql/PreparedStatement;[Ljava/lang/Object;)V,372,MathMutator,Replaced integer addition with subtraction,AbstractQueryRunner.java,org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecutePmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecute(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSetPmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSetDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSet(org.apache.commons.dbutils.QueryRunnerTest),SURVIVED,04e98773fc39
commons-dbutils,org.apache.commons.dbutils.AbstractQueryRunner,fillStatement,(Ljava/sql/PreparedStatement;[Ljava/lang/Object;)V,371,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,AbstractQueryRunner.java,org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecutePmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecute(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSetPmdTrue(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSetDefaultConstructor(org.apache.commons.dbutils.QueryRunnerTest)|org.apache.commons.dbutils.QueryRunnerTest.testGoodExecuteWithResultSet(org.apache.commons.dbutils.QueryRunnerTest),KILLED,78b8c4383654
