project,mutant_id,class,method,line,mutator,description,pit_status,reason
commons-jexl3,8abcf85f5af1,org.apache.commons.jexl3.parser.Parser,ValueExpression,4170,VoidMethodCallMutator,removed call to org/apache/commons/jexl3/parser/JJTParserState::openNodeScope,KILLED,no_pitmus_match
commons-jexl3,6f37e527ecdd,org.apache.commons.jexl3.parser.Parser,ValueExpression,4200,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,no_pitmus_match
commons-jexl3,3a036a3604ad,org.apache.commons.jexl3.internal.introspection.MethodKey$Parameters,isPrimitive,665,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-jexl3,afd6e5718a29,org.apache.commons.jexl3.internal.introspection.MethodKey$Parameters,isPrimitive,665,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-jexl3,b0236be80f4c,org.apache.commons.jexl3.JexlArithmetic,subtract,951,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-jexl3,94ddf69d9c8e,org.apache.commons.jexl3.JexlArithmetic,subtract,944,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-jexl3,356cb55ad478,org.apache.commons.jexl3.parser.Parser,jj_3R_178,4872,BooleanFalseReturnValsMutator,replaced boolean return with false for org/apache/commons/jexl3/parser/Parser::jj_3R_178,KILLED,no_pitmus_match
commons-jexl3,67e9287df5a4,org.apache.commons.jexl3.parser.Parser,jj_3R_178,4872,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,no_pitmus_match
commons-jexl3,412a49cf426d,org.apache.commons.jexl3.parser.Parser,jj_3R_178,4874,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,3aef9750d9e7,org.apache.commons.jexl3.parser.Parser,jj_3R_178,4870,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,d1b942b6fb9a,org.apache.commons.jexl3.parser.Parser,jj_3R_178,4875,BooleanTrueReturnValsMutator,replaced boolean return with true for org/apache/commons/jexl3/parser/Parser::jj_3R_178,KILLED,no_pitmus_match
commons-jexl3,b17fce99d763,org.apache.commons.jexl3.parser.Parser,jj_3R_195,5641,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,no_pitmus_match
commons-jexl3,c9fcc958e2cd,org.apache.commons.jexl3.parser.Parser,jj_3R_195,5640,BooleanFalseReturnValsMutator,replaced boolean return with false for org/apache/commons/jexl3/parser/Parser::jj_3R_195,TIMED_OUT,no_pitmus_match
commons-jexl3,14fca66e7682,org.apache.commons.jexl3.parser.Parser,jj_3R_195,5640,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,no_pitmus_match
commons-jexl3,5fa7ef5c2763,org.apache.commons.jexl3.parser.Parser,jj_3R_195,5641,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,d00f25a62b2e,org.apache.commons.jexl3.parser.Parser,jj_3R_195,5640,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,2e9ad64b478a,org.apache.commons.jexl3.internal.introspection.PropertySetExecutor,tryInvoke,96,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-jexl3,8946904f082e,org.apache.commons.jexl3.internal.introspection.PropertySetExecutor,tryInvoke,96,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-jexl3,2e9ad64b478a,org.apache.commons.jexl3.internal.introspection.PropertySetExecutor,tryInvoke,96,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-jexl3,74766dea1b8e,org.apache.commons.jexl3.parser.Parser,jj_3R_144,5543,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,953e8dd9016a,org.apache.commons.jexl3.parser.Parser,jj_3R_144,5544,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,no_pitmus_match
commons-jexl3,0fd7ffe37352,org.apache.commons.jexl3.parser.Parser,jj_3R_144,5544,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,da8b6c8fb457,org.apache.commons.jexl3.parser.Parser,jj_3R_144,5543,BooleanFalseReturnValsMutator,replaced boolean return with false for org/apache/commons/jexl3/parser/Parser::jj_3R_144,TIMED_OUT,no_pitmus_match
commons-jexl3,6e2635e6c6d5,org.apache.commons.jexl3.parser.Parser,jj_3R_144,5543,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,no_pitmus_match
commons-jexl3,aae074ceab1d,org.apache.commons.jexl3.parser.ParserTokenManager,jjMoveNfa_2,3218,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,3cddbcc28b72,org.apache.commons.jexl3.parser.ParserTokenManager,jjMoveNfa_2,2735,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,no_pitmus_match
commons-jexl3,a7c569539e70,org.apache.commons.jexl3.parser.ParserTokenManager,jjMoveNfa_2,2650,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,no_pitmus_match
commons-jexl3,faee2a9c985f,org.apache.commons.jexl3.parser.ParserTokenManager,jjMoveNfa_2,2803,ConditionalsBoundaryMutator,changed conditional boundary,SURVIVED,no_pitmus_match
commons-jexl3,a939b864d911,org.apache.commons.jexl3.parser.ParserTokenManager,jjMoveNfa_2,2651,VoidMethodCallMutator,removed call to org/apache/commons/jexl3/parser/ParserTokenManager::jjCheckNAddStates,KILLED,no_pitmus_match
commons-jexl3,7e684773a376,org.apache.commons.jexl3.internal.InterpreterBase$CallDispatcher,isArithmeticMethod,885,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_2
commons-jexl3,7e684773a376,org.apache.commons.jexl3.internal.InterpreterBase$CallDispatcher,isArithmeticMethod,885,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_2
commons-jexl3,3ea29f177f36,org.apache.commons.jexl3.internal.InterpreterBase$CallDispatcher,isArithmeticMethod,885,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-jexl3,92c5856a16d1,org.apache.commons.jexl3.parser.Parser,jj_3R_58,6255,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,TIMED_OUT,no_pitmus_match
commons-jexl3,b3642b50861c,org.apache.commons.jexl3.parser.Parser,jj_3R_58,6259,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,TIMED_OUT,no_pitmus_match
commons-jexl3,e8d502d3dd22,org.apache.commons.jexl3.parser.Parser,jj_3R_58,6255,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,b2c027348969,org.apache.commons.jexl3.parser.Parser,jj_3R_58,6269,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,TIMED_OUT,no_pitmus_match
commons-jexl3,f63476a1e903,org.apache.commons.jexl3.parser.Parser,jj_3R_58,6265,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,TIMED_OUT,no_pitmus_match
commons-jexl3,e8775fde4e94,org.apache.commons.jexl3.parser.JexlNode,isSafeLhs,260,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,db934070c705,org.apache.commons.jexl3.parser.JexlNode,isSafeLhs,260,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,no_pitmus_match
commons-jexl3,81fa91445ed6,org.apache.commons.jexl3.parser.JexlNode,isSafeLhs,234,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,no_pitmus_match
commons-jexl3,a0960c35e29e,org.apache.commons.jexl3.parser.JexlNode,isSafeLhs,256,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-jexl3,84522234eeb8,org.apache.commons.jexl3.parser.Parser,jj_3R_150,5251,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,47e41f6490d6,org.apache.commons.jexl3.parser.Parser,jj_3R_150,5255,BooleanTrueReturnValsMutator,replaced boolean return with true for org/apache/commons/jexl3/parser/Parser::jj_3R_150,KILLED,no_pitmus_match
commons-jexl3,f6cd59406931,org.apache.commons.jexl3.parser.Parser,jj_3R_150,5253,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,7cd551291748,org.apache.commons.jexl3.parser.Parser,jj_3R_150,5251,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,TIMED_OUT,no_pitmus_match
commons-jexl3,184b79d3ac73,org.apache.commons.jexl3.parser.Parser,jj_3R_150,5253,BooleanFalseReturnValsMutator,replaced boolean return with false for org/apache/commons/jexl3/parser/Parser::jj_3R_150,TIMED_OUT,no_pitmus_match
commons-jexl3,582a46e1d2f7,org.apache.commons.jexl3.parser.Parser,jj_3R_179,4884,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,no_pitmus_match
commons-jexl3,7faa7c56540c,org.apache.commons.jexl3.parser.Parser,jj_3R_179,4884,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,no_pitmus_match
commons-jexl3,8ca96d6afcc2,org.apache.commons.jexl3.parser.Parser,jj_3R_179,4886,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,no_pitmus_match
commons-jexl3,9d8683f5657e,org.apache.commons.jexl3.parser.Parser,jj_3R_179,4884,BooleanFalseReturnValsMutator,replaced boolean return with false for org/apache/commons/jexl3/parser/Parser::jj_3R_179,KILLED,no_pitmus_match
commons-jexl3,b17d0d603db4,org.apache.commons.jexl3.parser.Parser,jj_3R_179,4882,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,no_pitmus_match
commons-jexl3,3e8b8be9d524,org.apache.commons.jexl3.parser.JJTParserState,closeNodeScope,113,VoidMethodCallMutator,removed call to org/apache/commons/jexl3/parser/Node::jjtSetParent,KILLED,no_pitmus_match
commons-jexl3,71a7c507123a,org.apache.commons.jexl3.parser.JJTParserState,closeNodeScope,114,VoidMethodCallMutator,removed call to org/apache/commons/jexl3/parser/Node::jjtAddChild,TIMED_OUT,no_pitmus_match
commons-jexl3,7375c39381c9,org.apache.commons.jexl3.parser.JJTParserState,closeNodeScope,108,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,d9d78789f108,org.apache.commons.jexl3.parser.JJTParserState,closeNodeScope,116,VoidMethodCallMutator,removed call to org/apache/commons/jexl3/parser/Node::jjtClose,KILLED,no_pitmus_match
commons-jexl3,b5a599546a59,org.apache.commons.jexl3.parser.JJTParserState,closeNodeScope,111,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,TIMED_OUT,no_pitmus_match
commons-jexl3,50ce527a307a,org.apache.commons.jexl3.parser.Parser,jj_3R_67,5701,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,no_pitmus_match
commons-jexl3,06876674272d,org.apache.commons.jexl3.parser.Parser,jj_3R_67,5695,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,a2a3cebb544b,org.apache.commons.jexl3.parser.Parser,jj_3R_67,5705,BooleanTrueReturnValsMutator,replaced boolean return with true for org/apache/commons/jexl3/parser/Parser::jj_3R_67,KILLED,no_pitmus_match
commons-jexl3,4df82ce54d92,org.apache.commons.jexl3.parser.Parser,jj_3R_67,5695,BooleanFalseReturnValsMutator,replaced boolean return with false for org/apache/commons/jexl3/parser/Parser::jj_3R_67,TIMED_OUT,no_pitmus_match
commons-jexl3,54204b55a9a1,org.apache.commons.jexl3.parser.Parser,jj_3R_67,5698,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,TIMED_OUT,no_pitmus_match
commons-jexl3,24f601ebb43c,org.apache.commons.jexl3.parser.Parser,jj_3R_92,5576,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,bb41653814b5,org.apache.commons.jexl3.parser.Parser,jj_3R_92,5580,BooleanFalseReturnValsMutator,replaced boolean return with false for org/apache/commons/jexl3/parser/Parser::jj_3R_92,SURVIVED,no_pitmus_match
commons-jexl3,4dfeab7fda5e,org.apache.commons.jexl3.parser.Parser,jj_3R_92,5579,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,no_pitmus_match
commons-jexl3,68948481f010,org.apache.commons.jexl3.parser.Parser,jj_3R_92,5580,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,no_pitmus_match
commons-jexl3,5f02110416c1,org.apache.commons.jexl3.parser.Parser,jj_3R_92,5579,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,0074a6e32909,org.apache.commons.jexl3.parser.Parser,jj_3_38,6425,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,no_pitmus_match
commons-jexl3,6f2df1c26223,org.apache.commons.jexl3.parser.Parser,jj_3_38,6426,BooleanTrueReturnValsMutator,replaced boolean return with true for org/apache/commons/jexl3/parser/Parser::jj_3_38,KILLED,no_pitmus_match
commons-jexl3,001d24ef5d30,org.apache.commons.jexl3.parser.Parser,jj_3_38,6425,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-jexl3,590d50135612,org.apache.commons.jexl3.parser.Parser,jj_3_38,6424,BooleanFalseReturnValsMutator,replaced boolean return with false for org/apache/commons/jexl3/parser/Parser::jj_3_38,KILLED,no_pitmus_match
commons-jexl3,da77e7c95dc7,org.apache.commons.jexl3.parser.Parser,jj_3_38,6424,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,no_pitmus_match
commons-jexl3,943c7ae27655,org.apache.commons.jexl3.parser.Parser,IdentifierAccess,3754,VoidMethodCallMutator,removed call to org/apache/commons/jexl3/parser/ASTIdentifierAccess::jjtSetFirstToken,SURVIVED,no_pitmus_match
commons-jexl3,3ec56175cac8,org.apache.commons.jexl3.parser.Parser,IdentifierAccess,3891,VoidMethodCallMutator,removed call to org/apache/commons/jexl3/parser/JJTParserState::closeNodeScope,KILLED,no_pitmus_match
commons-jexl3,db2ad93c9ac9,org.apache.commons.jexl3.parser.Parser,IdentifierAccess,3863,VoidMethodCallMutator,removed call to org/apache/commons/jexl3/parser/ASTIdentifierAccessSafe::jjtSetFirstToken,SURVIVED,no_pitmus_match
commons-jexl3,5adbefc19f59,org.apache.commons.jexl3.parser.Parser,IdentifierAccess,3752,VoidMethodCallMutator,removed call to org/apache/commons/jexl3/parser/JJTParserState::openNodeScope,KILLED,no_pitmus_match
commons-jexl3,db7a2b15d94b,org.apache.commons.jexl3.parser.Parser,IdentifierAccess,3784,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,no_pitmus_match
commons-jexl3,fd9b868e3f2f,org.apache.commons.jexl3.internal.introspection.PropertySetExecutor,invoke,85,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-jexl3,bf2fdb2ab36e,org.apache.commons.jexl3.internal.introspection.PropertySetExecutor,invoke,85,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-jexl3,bf2fdb2ab36e,org.apache.commons.jexl3.internal.introspection.PropertySetExecutor,invoke,85,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-jexl3,81807a1d91bb,org.apache.commons.jexl3.internal.introspection.MethodKey$Parameters,moreSpecific,626,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-jexl3,3569d588719e,org.apache.commons.jexl3.internal.introspection.MethodKey$Parameters,moreSpecific,637,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
