Operator,Eval,Preserved,Rate
InvertNegatives,80,80.0,100.00%
NullReturns,7152,7148.1,99.95%
VoidMethodCall,8160,8144.6,99.81%
FalseReturns,1638,1632.5,99.66%
ExperimentalSwitch,326,324.5,99.54%
EmptyReturns,2098,2085.12,99.39%
TrueReturns,2376,2355.61,99.14%
PrimitiveReturns,3121,3090.92,99.04%
ConditionalsBoundary,3668,3610.49,98.43%
RemoveConditionals,35739,35039.8,98.04%
Increments,446,412.5,92.49%
Math,4425,3622.86,81.87%
NegateConditionals,0,0.0,--
Total,69229,67547.0,97.57%
