Operator,Eval,Preserved,Rate
EmptyReturns,236,236.0,100.00%
FalseReturns,162,162.0,100.00%
InvertNegatives,54,54.0,100.00%
NullReturns,2102,2101.5,99.98%
VoidMethodCall,682,681.75,99.96%
ConditionalsBoundary,852,843.51,99.00%
TrueReturns,296,292.84,98.93%
ExperimentalSwitch,42,41.5,98.81%
RemoveConditionals,6112,6022.97,98.54%
PrimitiveReturns,1187,1162.17,97.91%
Increments,106,102.5,96.70%
Math,1288,1078.27,83.72%
NegateConditionals,0,0.0,--
Total,13119,12779.0,97.41%
