Operator,Eval,Preserved,Rate
NullReturns,571,571.0,100.00%
VoidMethodCall,352,352.0,100.00%
EmptyReturns,166,166.0,100.00%
FalseReturns,95,95.0,100.00%
PrimitiveReturns,52,52.0,100.00%
Increments,7,7.0,100.00%
ExperimentalSwitch,2,2.0,100.00%
ConditionalsBoundary,123,122.13,99.30%
TrueReturns,133,131.93,99.20%
RemoveConditionals,2741,2695.93,98.36%
Math,37,29.0,78.38%
InvertNegatives,0,0.0,--
NegateConditionals,0,0.0,--
Total,4279,4224.0,98.71%
