Operator,Eval,Preserved,Rate
NullReturns,488,488.0,100.00%
EmptyReturns,289,289.0,100.00%
FalseReturns,283,283.0,100.00%
ExperimentalSwitch,69,69.0,100.00%
Increments,29,29.0,100.00%
VoidMethodCall,1531,1529.7,99.92%
TrueReturns,433,432.33,99.85%
PrimitiveReturns,66,65.5,99.24%
ConditionalsBoundary,286,283.8,99.23%
RemoveConditionals,3743,3684.55,98.44%
Math,233,191.12,82.02%
InvertNegatives,0,0.0,--
NegateConditionals,0,0.0,--
Total,7450,7345.0,98.59%
