Operator,Eval,Preserved,Rate
VoidMethodCall,233,233.0,100.00%
NullReturns,187,187.0,100.00%
TrueReturns,49,49.0,100.00%
PrimitiveReturns,38,38.0,100.00%
EmptyReturns,36,36.0,100.00%
FalseReturns,33,33.0,100.00%
ConditionalsBoundary,14,14.0,100.00%
Math,8,8.0,100.00%
RemoveConditionals,372,370.0,99.46%
ExperimentalSwitch,0,0.0,--
Increments,0,0.0,--
InvertNegatives,0,0.0,--
NegateConditionals,0,0.0,--
Total,970,968.0,99.79%
