Operator,Eval,Preserved,Rate
NullReturns,141,141.0,100.00%
EmptyReturns,38,38.0,100.00%
VoidMethodCall,32,32.0,100.00%
PrimitiveReturns,10,10.0,100.00%
TrueReturns,9,9.0,100.00%
Increments,3,3.0,100.00%
FalseReturns,2,2.0,100.00%
ExperimentalSwitch,1,1.0,100.00%
RemoveConditionals,276,271.7,98.44%
ConditionalsBoundary,29,28.18,97.18%
Math,62,50.12,80.84%
InvertNegatives,0,0.0,--
NegateConditionals,0,0.0,--
Total,603,586.0,97.18%
