project,mutant_id,class,method,line,mutator,description,pit_status,reason
commons-dbutils,78b8c4383654,org.apache.commons.dbutils.AbstractQueryRunner,fillStatement,371,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-dbutils,b2b49fd4a7b6,org.apache.commons.dbutils.BasicRowProcessor,toMap,166,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_2
commons-dbutils,9956fa094671,org.apache.commons.dbutils.BeanProcessor,callSetter,294,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_2
commons-dbutils,55e383206b58,org.apache.commons.dbutils.BeanProcessor,callSetter,294,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-dbutils,55e383206b58,org.apache.commons.dbutils.BeanProcessor,callSetter,294,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-dbutils,9e6faa6fdd4d,org.apache.commons.dbutils.BeanProcessor,isCompatibleType,344,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_3
commons-dbutils,6d63fc35ceea,org.apache.commons.dbutils.BeanProcessor,isCompatibleType,344,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_3
commons-dbutils,6d63fc35ceea,org.apache.commons.dbutils.BeanProcessor,isCompatibleType,344,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_3
commons-dbutils,9e6faa6fdd4d,org.apache.commons.dbutils.BeanProcessor,isCompatibleType,344,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_3
commons-dbutils,eaf94cfc13d5,org.apache.commons.dbutils.BeanProcessor,populateBean,270,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
