project,mutant_id,class,method,line,mutator,description,pit_status,pit_label,pitmus_status,agreement,detail,time_seconds
commons-dbutils,3fb4c2a0f031,org.apache.commons.dbutils.AbstractQueryRunner,configureStatement,256,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,3.13
commons-dbutils,2b8d3c3c4eda,org.apache.commons.dbutils.AbstractQueryRunner,configureStatement,256,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,3.00
commons-dbutils,a25da43c5158,org.apache.commons.dbutils.AbstractQueryRunner,configureStatement,257,VoidMethodCallMutator,removed call to java/sql/Statement::setFetchDirection,KILLED,KILLED,SURVIVED,disagreed,ok,2.96
commons-dbutils,4a4778e499ba,org.apache.commons.dbutils.AbstractQueryRunner,configureStatement,264,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.91
commons-dbutils,ce70d2b88632,org.apache.commons.dbutils.AbstractQueryRunner,configureStatement,255,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.53
commons-dbutils,28fee88b3583,org.apache.commons.dbutils.AbstractQueryRunner,fillStatement,365,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.59
commons-dbutils,08c33600bd46,org.apache.commons.dbutils.AbstractQueryRunner,fillStatement,365,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,KILLED,disagreed,non_zero_rc_1,1.80
commons-dbutils,84fe008ea2a3,org.apache.commons.dbutils.AbstractQueryRunner,fillStatement,346,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.84
commons-dbutils,04e98773fc39,org.apache.commons.dbutils.AbstractQueryRunner,fillStatement,372,MathMutator,Replaced integer addition with subtraction,SURVIVED,SURVIVED,KILLED,disagreed,non_zero_rc_1,1.82
commons-dbutils,ad860e7beb92,org.apache.commons.dbutils.AbstractQueryRunner,fillStatementWithBean,438,VoidMethodCallMutator,removed call to org/apache/commons/dbutils/AbstractQueryRunner::fillStatement,SURVIVED,SURVIVED,SURVIVED,agreed,ok,3.17
commons-dbutils,a963ffbba0e3,org.apache.commons.dbutils.AbstractQueryRunner,fillStatementWithBean,420,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.93
commons-dbutils,31ff5ad9d5ef,org.apache.commons.dbutils.AbstractQueryRunner,fillStatementWithBean,416,ConditionalsBoundaryMutator,changed conditional boundary,KILLED,KILLED,KILLED,agreed,test_failure,2.93
commons-dbutils,97a4e4a124c7,org.apache.commons.dbutils.AbstractQueryRunner,fillStatementWithBean,416,RemoveConditionalMutator_ORDER_IF,removed conditional - replaced comparison check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.66
commons-dbutils,3aad61ff42fe,org.apache.commons.dbutils.AbstractQueryRunner,fillStatementWithBean,420,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,2.99
commons-dbutils,1de27bea66f4,org.apache.commons.dbutils.AbstractQueryRunner,fillStatementWithBean,467,RemoveConditionalMutator_ORDER_IF,removed conditional - replaced comparison check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.73
commons-dbutils,f3eb1f8afcd2,org.apache.commons.dbutils.AbstractQueryRunner,fillStatementWithBean,474,ConditionalsBoundaryMutator,changed conditional boundary,SURVIVED,SURVIVED,KILLED,disagreed,non_zero_rc_1,1.80
commons-dbutils,1ef1d24db5c9,org.apache.commons.dbutils.AbstractQueryRunner,fillStatementWithBean,482,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.80
commons-dbutils,93ad606ddf87,org.apache.commons.dbutils.AbstractQueryRunner,fillStatementWithBean,474,RemoveConditionalMutator_ORDER_IF,removed conditional - replaced comparison check with true,SURVIVED,SURVIVED,KILLED,disagreed,non_zero_rc_1,1.81
commons-dbutils,bc56968c64ea,org.apache.commons.dbutils.AbstractQueryRunner,fillStatementWithBean,467,ConditionalsBoundaryMutator,changed conditional boundary,KILLED,KILLED,KILLED,agreed,test_failure,3.11
commons-dbutils,ab6d91a118dc,org.apache.commons.dbutils.AbstractQueryRunner,rethrow,520,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,3.61
commons-dbutils,b9745077c496,org.apache.commons.dbutils.AbstractQueryRunner,rethrow,511,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,KILLED,disagreed,test_failure,2.76
commons-dbutils,d2dd8852bf75,org.apache.commons.dbutils.AbstractQueryRunner,rethrow,520,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,KILLED,disagreed,test_failure,2.95
commons-dbutils,d5426f80df1c,org.apache.commons.dbutils.AbstractQueryRunner,rethrow,511,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,3.31
commons-dbutils,ef599844ce6f,org.apache.commons.dbutils.AbstractQueryRunner,rethrow,528,VoidMethodCallMutator,removed call to java/sql/SQLException::setNextException,SURVIVED,SURVIVED,KILLED,disagreed,test_failure,2.66
commons-dbutils,497b053db44c,org.apache.commons.dbutils.BasicRowProcessor,toArray,107,NullReturnValsMutator,replaced return value with null for org/apache/commons/dbutils/BasicRowProcessor::toArray,KILLED,KILLED,KILLED,agreed,test_failure,2.96
commons-dbutils,77fb3df79764,org.apache.commons.dbutils.BasicRowProcessor,toArray,104,MathMutator,Replaced integer addition with subtraction,KILLED,KILLED,KILLED,agreed,test_failure,2.85
commons-dbutils,8bda5b6d650d,org.apache.commons.dbutils.BasicRowProcessor,toArray,103,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.70
commons-dbutils,dfde97b77f03,org.apache.commons.dbutils.BasicRowProcessor,toArray,103,ConditionalsBoundaryMutator,changed conditional boundary,KILLED,KILLED,KILLED,agreed,test_failure,3.03
commons-dbutils,e93878b70226,org.apache.commons.dbutils.BasicRowProcessor,toArray,103,RemoveConditionalMutator_ORDER_IF,removed conditional - replaced comparison check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.79
commons-dbutils,b105dbb86922,org.apache.commons.dbutils.BasicRowProcessor,toMap,172,EmptyObjectReturnValsMutator,replaced return value with Collections.emptyMap for org/apache/commons/dbutils/BasicRowProcessor::toMap,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.70
commons-dbutils,0d7a1c2207b1,org.apache.commons.dbutils.BasicRowProcessor,toMap,164,RemoveConditionalMutator_ORDER_IF,removed conditional - replaced comparison check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.73
commons-dbutils,8d8cd940b032,org.apache.commons.dbutils.BasicRowProcessor,toMap,164,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.65
commons-dbutils,9cbdab162c6c,org.apache.commons.dbutils.BasicRowProcessor,toMap,164,ConditionalsBoundaryMutator,changed conditional boundary,KILLED,KILLED,KILLED,agreed,test_failure,2.90
commons-dbutils,15d1f4b56a54,org.apache.commons.dbutils.BeanProcessor,callSetter,308,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,3.11
commons-dbutils,61a42f9df055,org.apache.commons.dbutils.BeanProcessor,callSetter,301,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,3.12
commons-dbutils,5f68c7687dcd,org.apache.commons.dbutils.BeanProcessor,isCompatibleType,345,BooleanFalseReturnValsMutator,replaced boolean return with false for org/apache/commons/dbutils/BeanProcessor::isCompatibleType,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,2.28
commons-dbutils,5086cd463f97,org.apache.commons.dbutils.BeanProcessor,mapColumnsToProperties,463,MathMutator,Replaced integer addition with subtraction,KILLED,KILLED,KILLED,agreed,test_failure,3.01
commons-dbutils,43f69e410338,org.apache.commons.dbutils.BeanProcessor,mapColumnsToProperties,466,ConditionalsBoundaryMutator,changed conditional boundary,KILLED,KILLED,KILLED,agreed,test_failure,3.12
commons-dbutils,3d33821ca734,org.apache.commons.dbutils.BeanProcessor,mapColumnsToProperties,466,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.77
commons-dbutils,77c18d618d19,org.apache.commons.dbutils.BeanProcessor,mapColumnsToProperties,475,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.77
commons-dbutils,453804a077aa,org.apache.commons.dbutils.BeanProcessor,mapColumnsToProperties,466,RemoveConditionalMutator_ORDER_IF,removed conditional - replaced comparison check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.70
commons-dbutils,95ee165bb9ed,org.apache.commons.dbutils.BeanProcessor,matchesPrimitive,369,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,3.09
commons-dbutils,a331edd3b7b3,org.apache.commons.dbutils.BeanProcessor,matchesPrimitive,360,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.06
commons-dbutils,db22e08ba83c,org.apache.commons.dbutils.BeanProcessor,matchesPrimitive,370,BooleanFalseReturnValsMutator,replaced boolean return with false for org/apache/commons/dbutils/BeanProcessor::matchesPrimitive,KILLED,KILLED,KILLED,agreed,test_failure,3.05
commons-dbutils,e7c039b50d98,org.apache.commons.dbutils.BeanProcessor,matchesPrimitive,369,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,2.30
commons-dbutils,f93c94e7a005,org.apache.commons.dbutils.BeanProcessor,matchesPrimitive,360,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,KILLED,disagreed,test_failure,2.94
commons-dbutils,2094f869e4e7,org.apache.commons.dbutils.BeanProcessor,populateBean,259,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,2.75
commons-dbutils,74509ae27eaa,org.apache.commons.dbutils.BeanProcessor,populateBean,278,NullReturnValsMutator,replaced return value with null for org/apache/commons/dbutils/BeanProcessor::populateBean,KILLED,KILLED,KILLED,agreed,test_failure,3.03
commons-dbutils,cd4e558855ac,org.apache.commons.dbutils.BeanProcessor,processColumn,530,NullReturnValsMutator,replaced return value with null for org/apache/commons/dbutils/BeanProcessor::processColumn,KILLED,KILLED,KILLED,agreed,test_failure,3.08
commons-dbutils,437fdacaddc1,org.apache.commons.dbutils.BeanProcessor,processColumn,524,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,2.85
commons-dbutils,b536e535df47,org.apache.commons.dbutils.BeanProcessor,processColumn,524,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,2.89
commons-dbutils,fb7ec244912d,org.apache.commons.dbutils.BeanProcessor,toBeanList,205,EmptyObjectReturnValsMutator,replaced return value with Collections.emptyList for org/apache/commons/dbutils/BeanProcessor::toBeanList,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.77
commons-dbutils,6a21ef2de594,org.apache.commons.dbutils.BeanProcessor,toBeanList,194,EmptyObjectReturnValsMutator,replaced return value with Collections.emptyList for org/apache/commons/dbutils/BeanProcessor::toBeanList,SURVIVED,SURVIVED,KILLED,disagreed,non_zero_rc_1,1.79
commons-dbutils,2a9c976a6e5d,org.apache.commons.dbutils.BeanProcessor,toBeanList,203,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,TIMED_OUT,KILLED,KILLED,agreed,test_failure,2.83
