project,mutant_id,class,method,line,mutator,description,pit_status,pit_label,pitmus_status,agreement,detail,time_seconds
jsoup,c66725eb9dd5,org.jsoup.parser.TreeBuilder,currentElementIs,143,BooleanTrueReturnValsMutator,replaced boolean return with true for org/jsoup/parser/TreeBuilder::currentElementIs,TIMED_OUT,KILLED,KILLED,agreed,non_zero_rc_1,1.49
jsoup,cad67d82c9ab,org.jsoup.parser.TreeBuilder,currentElementIs,141,BooleanTrueReturnValsMutator,replaced boolean return with true for org/jsoup/parser/TreeBuilder::currentElementIs,SURVIVED,SURVIVED,KILLED,disagreed,non_zero_rc_1,1.41
jsoup,9c71796c5d03,org.jsoup.nodes.Attributes,deduplicate,480,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,0.83
jsoup,488c0b6d30f6,org.jsoup.nodes.Attributes,deduplicate,480,MathMutator,Replaced integer addition with subtraction,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.56
jsoup,4442b6454300,org.jsoup.nodes.Attributes,deduplicate,475,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,KILLED,disagreed,non_zero_rc_1,1.55
jsoup,22dec200c8cf,org.jsoup.helper.HttpConnection$Request,maxBodySize,711,ConditionalsBoundaryMutator,changed conditional boundary,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.59
jsoup,6af670519f81,org.jsoup.helper.HttpConnection$Request,maxBodySize,711,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.53
jsoup,b4819e49936b,org.jsoup.helper.HttpConnection$Request,maxBodySize,711,VoidMethodCallMutator,removed call to org/jsoup/helper/Validate::isTrue,SURVIVED,SURVIVED,KILLED,disagreed,non_zero_rc_1,1.56
jsoup,b5419e1690b7,org.jsoup.helper.HttpConnection$Request,maxBodySize,711,RemoveConditionalMutator_ORDER_IF,removed conditional - replaced comparison check with true,SURVIVED,SURVIVED,KILLED,disagreed,non_zero_rc_1,1.71
jsoup,bbcf51df341e,org.jsoup.helper.HttpConnection$Request,maxBodySize,713,NullReturnValsMutator,replaced return value with null for org/jsoup/helper/HttpConnection$Request::maxBodySize,SURVIVED,SURVIVED,KILLED,disagreed,non_zero_rc_1,1.67
jsoup,f800086111a6,org.jsoup.select.QueryParser,consumeSubQuery,150,RemoveConditionalMutator_ORDER_IF,removed conditional - replaced comparison check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.67
jsoup,cd9ea8903b2f,org.jsoup.select.QueryParser,consumeSubQuery,145,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.49
jsoup,e6245bdba5a2,org.jsoup.select.QueryParser,consumeSubQuery,145,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.46
jsoup,937ac06361ef,org.jsoup.select.QueryParser,consumeSubQuery,150,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.44
jsoup,c2b27fe95c87,org.jsoup.select.QueryParser,consumeSubQuery,147,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.55
jsoup,a246f4ac93d4,org.jsoup.nodes.Node,reindexChildren,552,RemoveConditionalMutator_ORDER_IF,removed conditional - replaced comparison check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.54
jsoup,6a6de9080901,org.jsoup.nodes.Node,reindexChildren,552,ConditionalsBoundaryMutator,changed conditional boundary,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.58
jsoup,2c5b5840a791,org.jsoup.nodes.Node,reindexChildren,550,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,TIMED_OUT,KILLED,KILLED,agreed,non_zero_rc_1,1.62
jsoup,1f55c33ef638,org.jsoup.nodes.Node,reindexChildren,553,VoidMethodCallMutator,removed call to org/jsoup/nodes/Node::setSiblingIndex,TIMED_OUT,KILLED,KILLED,agreed,non_zero_rc_1,0.70
jsoup,bf60df043b88,org.jsoup.nodes.Node,reindexChildren,550,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,KILLED,disagreed,non_zero_rc_1,1.51
jsoup,0ae2a59acc0e,org.jsoup.nodes.LeafNode,attr,42,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.56
jsoup,68830812310f,org.jsoup.nodes.LeafNode,attr,41,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.47
jsoup,960abc67a4e3,org.jsoup.nodes.LeafNode,attr,42,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.43
jsoup,d43a49e40296,org.jsoup.nodes.LeafNode,attr,41,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.45
jsoup,e1b53db44a96,org.jsoup.nodes.LeafNode,attr,44,EmptyObjectReturnValsMutator,"replaced return value with """" for org/jsoup/nodes/LeafNode::attr",KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.40
